row_id,clue_id,surface,definition,answer,definition_wn,answer_wn,split
621,674,The latest worry for museum conservator?,The latest,STATE OF THE ART,latest,state_of_the_art,test
624,677,"Winning daily is guaranteed, but not car",Winning,CHARISMATIC,winning,charismatic,train
689,743,Proper journey down mountain maybe without first sign of snow,Proper,DECENT,proper,decent,test
694,750,Chop end off dining chair,Chop,CARVE,chop,carve,test
702,756,"Good-looking worker, so attached to me",Good-looking,HANDSOME,good-looking,handsome,validate
716,770,Nobleman upset Liberal? That's funny,funny,DROLL,funny,droll,train
735,788,"Listless, glad Uni is out",Listless,LANGUID,listless,languid,train
781,833,Absolute commander-in-chief chasing car holding traitor,Absolute,AUTOCRATIC,absolute,autocratic,test
872,925,Crooked? Sounds like a grass,Crooked,AWRY,crooked,awry,test
909,974,Insensitively considered the French devious,Insensitively,THOUGHTLESSLY,insensitively,thoughtlessly,test
914,979,"Stick a poster, possibly, in this place",Stick,ADHERE,stick,adhere,test
931,996,Unruffled sound from cow in south,Unruffled,SMOOTH,unruffled,smooth,validate
940,1007,"Just this for Latin scholar, with others hanging around",Just,ETHICAL,just,ethical,test
964,1030,Impromptu nude dancing — tries again to interrupt,Impromptu,UNREHEARSED,impromptu,unrehearsed,train
967,1034,"Inactive case's ending, Times having time in court",Inactive,EXTINCT,inactive,extinct,test
979,1048,Trial in US city making the news,the news,LATEST,news,latest,test
996,1068,Reminder about university being complacent,complacent,PROUD,complacent,proud,test
997,1069,Sick bird sounded wrong,wrong,ILLEGAL,wrong,illegal,train
1011,1083,Grim at all times in southeast,Grim,SEVERE,grim,severe,test
1016,1088,Indifferent emergency appeal gains nought,Indifferent,SO-SO,indifferent,so-so,validate
1022,1094,Coarse east European taking Victor for British,Coarse,VULGAR,coarse,vulgar,validate
1030,1102,Bony eel takes cooking,Bony,SKELETAL,bony,skeletal,test
1065,1138,"Particular sin, snatching diamonds from the east",Particular,ESPECIAL,particular,especial,test
1100,1173,"Born and died, unknown, poor",poor,NEEDY,poor,needy,test
1102,1175,Demanding old fellow takes one in,Demanding,EXIGENT,demanding,exigent,train
1117,1190,"Expensive clasps are, almost entirely, delicate",delicate,PRECARIOUS,delicate,precarious,train
1130,1202,Drink: a complete round,Drink,LAP,drink,lap,test
1134,1208,Fix strange blue drink,drink,DOUBLE,drink,double,validate
1138,1211,Food and drink,drink,TEA,drink,tea,validate
1141,1214,Wild river crossed by this writer's companion,Wild,IMMODERATE,wild,immoderate,test
1149,1221,Resourceful burglar with crowbar might?,Resourceful,ENTERPRISING,resourceful,enterprising,train
1163,1234,Boldly rush around like Van Gogh?,Boldly,FEARLESSLY,boldly,fearlessly,validate
1166,1237,"Pursuing last of scullers, row hard",hard,STIFF,hard,stiff,test
1192,1265,Following legislation is a mistake,a mistake,FLAW,mistake,flaw,train
1230,1303,Agreement as communicated,Agreement,ASSENT,agreement,assent,validate
1232,1305,Terminology set out in lecture on Man,Terminology,NOMENCLATURE,terminology,nomenclature,train
1236,1310,Open a series of deliveries arriving on time,Open,OVERT,open,overt,test
1270,1348,Musical work opening shortly with melody that's suitable,suitable,OPPORTUNE,suitable,opportune,validate
1353,1451,Impression made by TV lexicographer?,Impression,DENT,impression,dent,test
1355,1453,Box set,Box,TELEVISION,box,television,test
1356,1453,Box set,set,TELEVISION,set,television,test
1358,1455,"Casual woolly, back of which has faded",Casual,AIRY,casual,airy,validate
1407,1513,"Ringing reporter, animated, criminal lain out after arrest",Ringing,TINTINNABULATION,ringing,tintinnabulation,train
1415,1522,"Check pressure during cricket, say",Check,INSPECT,check,inspect,test
1552,1671,Proactive pair opening company?,Proactive,CAN-DO,proactive,can-do,test
1559,1677,Topic most of you and me will deliver,Topic,THEME,topic,theme,train
1569,1688,Flusters wildly about newspaper in vain,in vain,FRUITLESS,in_vain,fruitless,test
1572,1691,"Fearful and dull, it turned up",Fearful,TIMID,fearful,timid,train
1577,1725,"Genuine theft, real criminal",Genuine,HEARTFELT,genuine,heartfelt,test
1579,1727,Present playing cards for the individual,Present,ON HAND,present,on_hand,test
1593,1742,Eastern spies with yoked clothing wasted,wasted,EMACIATED,wasted,emaciated,train
1598,1747,The author's facade's put on,put on,IMPOSE,put_on,impose,validate
1638,1792,Almost completely stop,stop,QUIT,stop,quit,test
1695,1847,"Takes part in tournament, with lowest score placed last? Exactly",Exactly,JUST SO,exactly,just_so,validate
1707,1863,To study a hindrance in article that’s hackneyed,hackneyed,THREADBARE,hackneyed,threadbare,test
1720,1898,Fit to be seen on road?,Fit,RAGE,fit,rage,test
1731,1906,Be suffering? Take on the Bible for help,help,AVAIL,help,avail,test
1757,1930,Drink beginning to befuddle Dame Edna,Drink,BEVERAGE,drink,beverage,test
1762,1936,"Section of, say, people in street",Section,SEGMENT,section,segment,test
1890,2074,Unrestrained harangue involving a politician,Unrestrained,RAMPANT,unrestrained,rampant,test
1895,2078,Cagey girl the writer’s taken round Scotland’s capital,Cagey,EVASIVE,cagey,evasive,test
1907,2089,Support visit,Support,STAY,support,stay,test
1908,2089,Support visit,visit,STAY,visit,stay,test
1918,2099,"Frenzied English priest retires, taken in by pope, perhaps",Frenzied,FEVERISH,frenzied,feverish,test
1942,2124,What was taken from Samson and Lot,Lot,SIGHT,lot,sight,test
1953,2135,Mild Liberal getting stick all round,Mild,CLEMENT,mild,clement,test
2030,2210,Remain outside school control,control,RESTRAINT,control,restraint,validate
2072,2252,Near a very quiet fish,Near,APPROACH,near,approach,test
2133,2319,Children that might be taken in disagreement?,Children,ISSUE,children,issue,test
2155,2339,Count shocked King Edward,Count,NUMBER,count,number,validate
2176,2361,Ignorant girl fighting anyone in the end,Ignorant,UNAWARE,ignorant,unaware,validate
2179,2364,Peculiar proposal for paying poets?,Peculiar,PERVERSE,peculiar,perverse,validate
2195,2381,Grasp a fighting European by the head,Grasp,AWARENESS,grasp,awareness,train
2222,2414,Nothing left at home? Quite the reverse,Nothing,NIL,nothing,nil,test
2232,2425,"Follow key number, heading off for battle",battle,DOGFIGHT,battle,dogfight,train
2309,2521,"Running around, the rat is a danger",a danger,THREAT,danger,threat,test
2310,2522,"Strong, but run over and broken",Strong,ROBUST,strong,robust,train
2324,2538,Just over 50 in US city,Just,ONLY,just,only,validate
2335,2548,"Seriously, I’m almost home",Seriously,IN EARNEST,seriously,in_earnest,test
2348,2562,Misery caused by spinning of a spider,Misery,DESPAIR,misery,despair,test
2358,2571,Country where chap admits felony ultimately hurt,Country,MYANMAR,country,myanmar,test
2363,2576,Top money once,Top,CROWN,top,crown,validate
2366,2578,Hang rabbit up,Hang,SAG,hang,sag,validate
2419,2632,Prompt to include a rest,rest,REMAINDER,rest,remainder,validate
2494,2737,Liking song writer at the outset,Liking,PENCHANT,liking,penchant,test
2512,2753,Ghastly murder oddly around area north of Hackney?,Ghastly,MACABRE,ghastly,macabre,test
2541,2781,Majestic new composition of Elgar,Majestic,REGAL,majestic,regal,validate
2564,2804,Employ our team before end of game?,Employ,USE,employ,use,test
2581,2820,Love the sound of noses,Love,PRIZE,love,prize,test
2648,2893,Someone evidently bad-mouthing weakness is wrong,wrong,DISSERVICE,wrong,disservice,train
2651,2896,Exemplary message: secure?,Exemplary,TEXTBOOK,exemplary,textbook,test
2664,2911,"Note to obtain national insurance, looking up number",number,INTEGER,number,integer,train
2670,2917,"Apart, ut infra",Apart,ASUNDER,apart,asunder,validate
2725,2974,Signs of drug depravity around where you would expect?,Signs,EVIDENCE,signs,evidence,test
2744,2994,Desperate man in his primitive form?,Desperate,URGENT,desperate,urgent,test
2799,3055,Save Hebridean island lake that's remarkable,remarkable,EXCEPTIONAL,remarkable,exceptional,test
2934,3199,Pinch mistress's bottom in gallery,Pinch,TASTE,pinch,taste,train
2937,3202,Oppressive form of greeting rebounded on Scot?,Oppressive,DRACONIAN,oppressive,draconian,test
2967,3232,Miserable chap tucking into toast,Miserable,CHEERLESS,miserable,cheerless,train
2996,3261,Offence by Charlie before becoming genuine,genuine,SINCERE,genuine,sincere,train
3057,3331,Strong suit,Strong,FIT,strong,fit,test
3058,3331,Strong suit,suit,FIT,suit,fit,train
3062,3335,A shade down,A shade,BLUE,shade,blue,validate
3069,3340,Dizzy and frivolous,frivolous,GIDDY,frivolous,giddy,test
3092,3359,Inexpensive hat that man’s wearing,Inexpensive,CHEAP,inexpensive,cheap,test
3097,3364,Some tales La Fontaine rejected could be untrue,untrue,FALSE,untrue,false,test
3134,3401,"Cheerful, United lead Polish off",Cheerful,UPBEAT,cheerful,upbeat,train
3166,3437,Noise of family beginning to gather,Noise,CLANG,noise,clang,train
3167,3439,"Wind to go suddenly, backing east",Wind,TRADE,wind,trade,train
3188,3467,Announcement about rental agreement,Announcement,RELEASE,announcement,release,train
3192,3471,Top celebrity enthralling millions,Top,ACME,top,acme,train
3194,3500,Brilliant Spanish tennis ace cut off pass,Brilliant,SPLENDID,brilliant,splendid,test
3238,3550,A single mum staff nurses abandoned,abandoned,MAROONED,abandoned,marooned,test
3243,3556,"Classmate, maybe, officially",officially,FORMALLY,officially,formally,test
3249,3562,Impression made by English females at European Court,Impression,EFFECT,impression,effect,test
3271,3582,Slumber an old PM’s rejected,Slumber,SLEEP,slumber,sleep,validate
3335,3646,Unwell and so weak in the end,Unwell,SICK,unwell,sick,train
3347,3659,Added gold bar roughly,roughly,MORE OR LESS,roughly,more_or_less,train
3363,3675,Vulgar promises to pay after a lot of port gets on shabbyclothes,Vulgar,OSTENTATIOUS,vulgar,ostentatious,validate
3376,3687,"Body politic, say",say,STATE,say,state,test
3378,3689,Instance of former politician overwhelmed by drink,Instance,EXAMPLE,instance,example,validate
3392,3705,Relaxed boy attending class first,Relaxed,INFORMAL,relaxed,informal,train
3433,3746,"One not wanting to leave, accepting day's rest",rest,REMAINDER,rest,remainder,validate
3469,3783,Letter spelled out work in detail,in detail,DEEPLY,in_detail,deeply,test
3475,3789,Description of heart of classy city,city,ATHENS,city,athens,validate
3476,3790,Feeble books covered by attack,Feeble,FLABBY,feeble,flabby,test
3584,3953,Office staff on leave before end of August,Office,DEPARTMENT,office,department,train
3611,3983,"Opener dropped on one, relieved initially",Opener,DOOR,opener,door,validate
3613,3986,Stoop to collect small drawing,drawing,DESIGN,drawing,design,validate
3618,3991,Renowned — as is musical work?,Renowned,NOTED,renowned,noted,test
3631,4007,Show daughter is nearby,Show,DISCLOSE,show,disclose,validate
3634,4010,Angled to include home that’s completed,completed,FINISHED,completed,finished,validate
3639,4015,Witches struggle in a city,a city,COVENTRY,city,coventry,train
3665,4074,"Country river, one in Russia",Country,RURAL,country,rural,test
3756,4175,"When there's no teaching, a set of books is available",available,VACANT,available,vacant,test
3759,4192,Writhed as tragedy unfolded,Writhed,GYRATED,writhed,gyrated,train
3763,4208,Problem children,children,ISSUE,children,issue,test
3820,4278,Where we learn which of our neighbours is special,special,UNIQUE,special,unique,test
3843,4306,"Abdicate, leaving son to rule",rule,REIGN,rule,reign,test
3855,4320,Number for one absorbed in Italian side,Number,INTEGER,number,integer,test
3887,4356,"Organised fight in temporary accommodation, that’s clear",clear,TRANSPARENT,clear,transparent,test
3894,4363,Oddly silky and insidious,insidious,SLY,insidious,sly,validate
3899,4369,A first part of timely gift now,now,AT PRESENT,now,at_present,test
3952,4429,Stealthy new Tories stir up unions at first,Stealthy,SURREPTITIOUS,stealthy,surreptitious,train
3966,4444,"Just clever, having no need of book",Just,RIGHT,just,right,test
3980,4459,"Poor knight, feeble, wanting wife",Poor,NEEDY,poor,needy,test
3987,4466,Anxious at home with scoundrel coming into view,Anxious,INSECURE,anxious,insecure,train
3991,4470,"Weakness about love, say",say,VOICE,say,voice,validate
4045,4531,"Unattractive leaders of union given little say, ultimately",Unattractive,UGLY,unattractive,ugly,validate
4064,4548,"People in Derby, for example?",People,RACE,people,race,test
4070,4553,… upset old British PM’s slumber,slumber,SLEEP,slumber,sleep,test
4088,4570,Open secret Charlie let out,Open,OVERT,open,overt,test
4107,4588,Throw Austen out,Throw,UNSEAT,throw,unseat,train
4109,4593,Formerly large case,case,EXAMPLE,case,example,train
4115,4598,Playful language getting not very far — yikes!,Playful,TONGUE-IN-CHEEK,playful,tongue-in-cheek,validate
4134,4617,Insouciant Cockney's dangerous,Insouciant,AIRY,insouciant,airy,test
4135,4618,"Indecently intimate around cowboy, perhaps",Indecently,IMPROPERLY,indecently,improperly,test
4157,4639,Direct issue,issue,POINT,issue,point,train
4161,4643,Track opening of the bar,Track,TRAIL,track,trail,test
4163,4645,Scone: it needs cooking a bit,a bit,SECTION,a_bit,section,train
4172,4655,Insecure Sudan yet to rebuild,Insecure,UNSTEADY,insecure,unsteady,test
4181,4663,"Comfort stop, not the first",Comfort,EASE,comfort,ease,train
4189,4671,Scheduled affair of honour?  Not quite,Scheduled,DUE,scheduled,due,train
4204,4685,"Briefly about, American in big top",big top,CIRCUS,big_top,circus,train
4206,4687,Like an archaeological excavation,Like,DIG,like,dig,validate
4208,4688,"A certain doctor of mine, happy to celebrate",to celebrate,WHOOP IT UP,celebrate,whoop_it_up,train
4231,4718,Get kitted out in vain for Strictly,Strictly,RIGIDLY,strictly,rigidly,train
4284,4785,Large number in America killed,killed,SLEW,killed,slew,test
4300,4805,Carefree bachelor having much flexibility,Carefree,BLITHE,carefree,blithe,test
4307,4814,Parched Napoleon wants doctor brought in,Parched,BONE-DRY,parched,bone-dry,train
4338,4846,Blissful soldier is embraced by youngster on return,Blissful,PARADISAL,blissful,paradisal,validate
4345,4852,Thought from Mao's first volume receiving cheers,Thought,MEDITATION,thought,meditation,train
4371,4877,Place selling drinks in Prohibition,Prohibition,BAR,prohibition,bar,train
4397,4900,River Don,River,WEAR,river,wear,train
4408,4909,"Poor dog, its appropriate part cut short",cut short,CURTAIL,cut_short,curtail,test
4409,4910,"Correct height on masts, sails, etc",Correct,RIGHT,correct,right,train
4465,4959,"Provided drug, having made crack",Provided,EQUIPPED,provided,equipped,train
4515,5033,Open University taking lead on nuclear energy,Open,UNZIP,open,unzip,test
4516,5035,Violent farm animal encountering quiet little creature,Violent,RAMPANT,violent,rampant,train
4522,5041,Sleep with back of neck not completely visible,Sleep,NAP,sleep,nap,test
4593,5155,Think about a child,Think,REASON,think,reason,test
4600,5163,Plan to put pound in kitty,Plan,PLOT,plan,plot,train
4619,5180,"First to cut up sticks, or stick",stick,CLEAVE,stick,cleave,test
4633,5193,Overtly trendy Liberal introduced to sport,Overtly,PLAINLY,overtly,plainly,test
4643,5203,Fearful African leader to join Union,Fearful,AWED,fearful,awed,test
4675,5237,Tiny child receiving letter in Greece,Tiny,MINUTE,tiny,minute,train
4703,5268,"Handle an old wit, the last to be promoted",Handle,WIELD,handle,wield,test
4707,5273,Supporters wrongfully blocking standard entrance to stadium,Supporters,PILLARS,supporters,pillars,test
4714,5280,"One old book? After set of newer ones, frankly",frankly,IN TRUTH,frankly,in_truth,test
4735,5304,Few taking this could make weight correct,correct,IRON OUT,correct,iron_out,train
4750,5320,Tremendous performance opposed by Conservative,Tremendous,GIGANTIC,tremendous,gigantic,test
4771,5343,Best quality regularly associated with one chum,Best,ULTIMATE,best,ultimate,train
4775,5346,Character who may offer terms to residents?,Character,LETTER,character,letter,test
4779,5351,Blissful course regularly taken by one female in charge,Blissful,BEATIFIC,blissful,beatific,train
4792,5365,Secret tribe doomed to come to premature end,Secret,CLANDESTINE,secret,clandestine,validate
4892,5475,Thus working shortly,shortly,SOON,shortly,soon,test
4909,5490,"Meaningless, largely empty confusion",confusion,MESS,confusion,mess,test
4923,5503,"Speak, for example",for example,SAY,for_example,say,test
4973,5553,German we agree not cut up but resentful,resentful,JAUNDICED,resentful,jaundiced,train
4995,5577,A route abroad,abroad,AWAY,abroad,away,validate
5008,5588,Joke made by judge is French,Joke,JEST,joke,jest,train
5027,5607,Variable bit of punk now neglected,Variable,UNKNOWN,variable,unknown,train
5042,5621,"Create run, wanting to be outside",Create,WREAK,create,wreak,test
5047,5627,Opportunity created by old writer in Greek capital,Opportunity,OPENING,opportunity,opening,validate
5065,5646,"In shifting dune, chumps note feline is wild",wild,UNDOMESTICATED,wild,undomesticated,validate
5069,5650,"Cheerful, different note for start of abstinence",Cheerful,GENIAL,cheerful,genial,test
5070,5651,"Wandering etc, touring West Indies repeatedly",repeatedly,TWICE,repeatedly,twice,test
5074,5655,"Really a menace, delaying the queen",Really,AT HEART,really,at_heart,test
5077,5658,"Start off quite well, then pint makes you clumsy",clumsy,INEPT,clumsy,inept,test
5081,5662,Nasty persons spreading bile are to blame,to blame,RESPONSIBLE,blame,responsible,test
5112,5697,"Always travelling west, minister in eastern capital",Always,EVERMORE,always,evermore,test
5116,5701,Mock Shakespeare's ending in Tempest,Tempest,RAGE,tempest,rage,validate
5132,5722,Loud expert features,features,FACE,features,face,test
5142,5730,Correctional centre in Hampshire media lambasts,Correctional,REMEDIAL,correctional,remedial,test
5201,5793,Talk from the French priest about origin of temptation,Talk,LECTURE,talk,lecture,test
5215,5810,Bad film of oil obliterating lake,Bad,SICK,bad,sick,train
5231,5827,Owned vessel crossing river for trial,trial,HARDSHIP,trial,hardship,test
5261,5858,"Like wildfire swallowing Utah up, to all intents and purposes",to all intents and purposes,VIRTUAL,to_all_intents_and_purposes,virtual,train
5272,5869,Model racing boat docked point,Model,SCULPT,model,sculpt,test
5301,5906,Introduction to play — final part imminent,imminent,PENDING,imminent,pending,train
5314,5921,"Wild bears in a forest at last, side by side",side by side,ABREAST,side_by_side,abreast,train
5346,5958,Continuous let near resort,Continuous,ETERNAL,continuous,eternal,test
5368,5981,Refinement of English member swinging cane,Refinement,ELEGANCE,refinement,elegance,test
5383,5994,Fairly easy on the eye,Fairly,PRETTY,fairly,pretty,test
5395,6005,Famous stage close by a railway,Famous,LEGENDARY,famous,legendary,validate
5425,6072,"Use ash, perhaps, when covering cross up",Use,EXERT,use,exert,train
5439,6087,Agreement boy should go to HE institution,Agreement,UNISON,agreement,unison,train
5447,6097,"Tot in poor area, beginning to lose out",Tot,SUM,tot,sum,train
5497,6150,Brit maybe showing discipline,discipline,SUBJECT,discipline,subject,train
5544,6198,Fanciful airline's cut loose,Fanciful,UNREALISTIC,fanciful,unrealistic,test
5549,6203,On the up: pressman with skill for business,business,TRADE,business,trade,train
5600,6263,Agree rise on the radio,Agree,ASSENT,agree,assent,test
5604,6267,Sight that is seen in Polo?,Sight,VIEW,sight,view,test
5663,6333,Correct interpretation of noon?,Correct,AMEND,correct,amend,validate
5669,6340,Differ over making unlimited contribution to sad song,Differ,DIVERGE,differ,diverge,test
5687,6357,Country's leader's moving along showing sense,sense,TASTE,sense,taste,validate
5749,6428,Demanding sutures with no twists,Demanding,STRENUOUS,demanding,strenuous,test
5752,6431,Aquatic reptile avoiding soft ground,ground,TERRAIN,ground,terrain,test
5783,6462,Place to slightly shift commitment,commitment,PLEDGE,commitment,pledge,test
5786,6465,Making no changes without singular source of temporary help,help,ASSIST,help,assist,validate
5801,6482,"Old-fashioned, overlooking small charge",charge,DUTY,charge,duty,test
5803,6484,Drunk in middle of week? Lush endlessly mysterious,mysterious,ESOTERIC,mysterious,esoteric,validate
5813,6494,Runs from random check,check,STAY,check,stay,test
5841,6521,"Talented following religion, not half trustworthy",trustworthy,RELIABLE,trustworthy,reliable,test
5843,6523,Strange new Roman lab,Strange,ABNORMAL,strange,abnormal,validate
5849,6528,Excitement as female friend returning,Excitement,FLAP,excitement,flap,test
5856,6535,"Magnificent leading couples from Paris, lavish times always!",Magnificent,PALATIAL,magnificent,palatial,validate
5857,6536,Clever bishop? Correct,Clever,BRIGHT,clever,bright,train
5860,6539,"Curt, put bar off",Curt,ABRUPT,curt,abrupt,test
5907,6592,Occasionally switch options?,Occasionally,OFF AND ON,occasionally,off_and_on,test
5909,6594,Relief finding something vital under bottom of aggregate in skip,Relief,DELIVERANCE,relief,deliverance,test
5923,6611,Bright students turning away from books,Bright,SUNLIT,bright,sunlit,test
5945,6633,Square loaf mostly devoured by old man,Square,PLAZA,square,plaza,train
5947,6635,Thus America carrying burden becomes dozy,dozy,SLUMBEROUS,dozy,slumberous,test
6053,6746,Enormous American soldier acting badly,Enormous,GIGANTIC,enormous,gigantic,test
6057,6751,"Meticulous from beginning to end, assuming nothing",Meticulous,THOROUGH,meticulous,thorough,test
6066,6759,Unassuming ways associated with leader of team,Unassuming,MODEST,unassuming,modest,test
6067,6760,"Likewise at solo, ignoring the odds",Likewise,TOO,likewise,too,test
6080,6773,Small wagon hit,hit,STRUCK,hit,struck,train
6089,6782,Edit notices a bit,a bit,SECTION,a_bit,section,train
6102,6796,"Cool criminal in capital of Sicily, Palermo",Cool,IMPERSONAL,cool,impersonal,test
6120,6814,"First ten enough, say",say,FOR EXAMPLE,say,for_example,validate
6123,6817,"Very short poems ending in sentiment, shameless",shameless,IMMODEST,shameless,immodest,validate
6126,6820,Range is clear,Range,SWEEP,range,sweep,train
6127,6820,Range is clear,clear,SWEEP,clear,sweep,test
6162,6851,Cheap Mac to acquire,Cheap,BUDGET,cheap,budget,test
6178,6867,Clear street crossing island,Clear,RID,clear,rid,test
6185,6874,Yard excavation turns frivolous,frivolous,GIDDY,frivolous,giddy,test
6213,6907,Orderly fit to sail?,Orderly,SHIPSHAPE,orderly,shipshape,test
6230,6925,Ghastly horse going without its carriage?,Ghastly,MACABRE,ghastly,macabre,test
6240,6935,Briefly cavorting in sun at hotspot,Briefly,IN A NUTSHELL,briefly,in_a_nutshell,train
6324,7035,Section of latrine needing trough emptied,Section,LENGTH,section,length,test
6328,7040,Unprepared before accepting Times rate,Unprepared,EXTEMPORE,unprepared,extempore,train
6353,7070,All-rounder needing some Linnaean classification?,All-rounder,GENERALIST,all-rounder,generalist,train
6354,7071,Simultaneously everyone agreed to accept Conservative,Simultaneously,ALL AT ONCE,simultaneously,all_at_once,validate
6363,7082,Proper information the telly regularly provides,Proper,GENTEEL,proper,genteel,test
6387,7102,Ironing needing immediate attention,Ironing,PRESSING,ironing,pressing,train
6389,7103,"Help relative, in a way",Help,ASSIST,help,assist,train
6426,7144,Junior's first monkey trick,trick,JAPE,trick,jape,test
6435,7153,Dour old male knocked over wine,Dour,MOROSE,dour,morose,validate
6456,7174,Shining silver lead for hound,Shining,AGLEAM,shining,agleam,train
6518,7245,Character's parking technique,Character,PART,character,part,test
6528,7255,A bone to pick with children?,children,ISSUE,children,issue,test
6546,7271,Release without charge,Release,FREE,release,free,test
6552,7275,Warning when first couple have left room,Warning,AMBER,warning,amber,validate
6571,7291,Lousy home made much of welcoming son,Lousy,INFESTED,lousy,infested,train
6581,7301,"Release ball, receiving abuse in return",Release,DELIVERANCE,release,deliverance,test
6589,7309,Try going round the bend in reverse,Try,STAB,try,stab,train
6641,7399,Scoundrel wallowing in self certainty,certainty,SECURITY,certainty,security,train
6672,7439,Tory authority's discounted in meeting,meeting,CONFLUENCE,meeting,confluence,train
6682,7450,"Remorseless climbing mountain chain, I'm at the top!",Remorseless,IMPLACABLE,remorseless,implacable,test
6704,7475,Try case of larceny hesitantly,hesitantly,SHYLY,hesitantly,shyly,train
6725,7503,Hot tip in tax.,Hot,TRENDY,hot,trendy,train
6751,7540,Aim under canvas?,Aim,INTENT,aim,intent,train
6761,7577,"Relax, having free gin at the end",Relax,LOOSEN,relax,loosen,validate
6770,7586,"Free, generally",Free,AT LARGE,free,at_large,validate
6777,7595,Suitable starters for footballers in training,Suitable,FIT,suitable,fit,train
6842,7665,"Worn out, as mostly predicted, strangely",Worn out,DECREPIT,worn_out,decrepit,test
6846,7668,Stop a goal,Stop,END,stop,end,test
6856,7677,Pleasant friend getting a place in restaurant,Pleasant,PALATABLE,pleasant,palatable,validate
6893,7713,Rolled bran flakes with very little appeal all round,Rolled,VIBRANT,rolled,vibrant,train
6895,7715,Argument over railway concern,concern,WORRY,concern,worry,test
6914,7735,Farcical game’s cut short and one croupier’s losing support,Farcical,LUDICROUS,farcical,ludicrous,validate
6919,7741,Hard to tamper with identity,Hard,RIGID,hard,rigid,test
6922,7745,Resentful judge has militant executed,Resentful,JEALOUS,resentful,jealous,train
6935,7760,Stress politician in east suffers on island,Stress,EMPHASIS,stress,emphasis,test
6943,7768,"Greedy chap with plenty of room, ignoring the odds",Greedy,EDACIOUS,greedy,edacious,validate
6989,7823,Fold your attire finally into case,Fold,CREASE,fold,crease,test
7016,7909,No image for a developer,No,NEGATIVE,no,negative,test
7024,7917,"I urged Europe, not half, to change — it's obligatory",obligatory,DE RIGUEUR,obligatory,de_rigueur,test
7071,7967,Top symbol of home ground,ground,EARTH,ground,earth,test
7083,7983,Calmly start to live in US city with first lady,Calmly,EVENLY,calmly,evenly,test
7096,7997,"Popular old record, though initially unsuitable",unsuitable,INEPT,unsuitable,inept,train
7103,8005,Outbreak where filming takes place,Outbreak,ONSET,outbreak,onset,test
7112,8014,Attractive English teacher dips into trifle half-heartedly,Attractive,DESIRABLE,attractive,desirable,test
7133,8037,"Artificial piece: damn amazing, some reflected",Artificial,MAN-MADE,artificial,man-made,test
7137,8041,"Use yours truly, backing stratagem",Use,EMPLOY,use,employ,test
7139,8043,Theatre company within month: it’s worn out,worn out,DECREPIT,worn_out,decrepit,train
7224,8160,Unemployed debt-collector bitten by ruddy insect!,Unemployed,REDUNDANT,unemployed,redundant,train
7229,8165,Wasted time supporting unmarried female writer,Wasted,MISSPENT,wasted,misspent,train
