clue_id,definition,split,phrase
96,accident,train,"Head of police called, revealing <t>accident</t>"
97,Switch,test,<t>Switch</t> posts near ground
100,Argument,train,<t>Argument</t> inspector advanced in Home Counties
101,Destroyed,test,<t>Destroyed</t> a Parisian serving-girl verbally?
102,Roofer,test,<t>Roofer</t> left in middle or row
103,Amphibian,validate,<t>Amphibian</t> originally eaten for tea
104,Unexpectedly,test,<t>Unexpectedly</t> grumpy about quiet revolution
107,Plea,train,<t>Plea</t> to dine among competitors
108,Storm,validate,<t>Storm</t> created by English politician during trial
109,Shrub,validate,"<t>Shrub</t> found in Michigan, Missouri and South America?"
114,Promotion,test,<t>Promotion</t> of publicly funded entertainment starting three months early?
115,Revolutionary,test,<t>Revolutionary</t> to run broadcasting company
117,me,train,Ordering of pieces from mint is a must for <t>me</t>
118,carelessly,train,Madcap display with tops off <t>carelessly</t>
128,Promise,validate,<t>Promise</t> to fix toilet pan
129,duty,test,Disagreement on acceptance of a queen's <t>duty</t>
137,Traveller,test,<t>Traveller</t> uttered unfocused angry outburst
138,Press,validate,"<t>Press</t> become tedious, with old content"
145,dance,train,Perth perv returned to <t>dance</t>
146,Seat,test,<t>Seat</t> in tree is rare
148,Train,test,<t>Train</t> Earl to get more canny touring Pennsylvania
149,recess,train,Monkey outside small <t>recess</t>
150,Ruined,train,<t>Ruined</t> a sculpture
150,a sculpture,test,Ruined <t>a sculpture</t>
153,brandy,test,Doctor entertains artist with piano and a <t>brandy</t>
154,Bats,train,<t>Bats</t> finally settling on stove
157,cardinal,train,Flat behind the Spanish <t>cardinal</t>
158,Painting,validate,<t>Painting</t> Caruso performing with choir
159,Class,train,<t>Class</t> left out of big house
160,piece of furniture,validate,A jolly cleaner goes round one <t>piece of furniture</t>
161,Back,train,<t>Back</t> in a short while
162,bag,train,Swimming manager fills dry <t>bag</t>
163,Grog,test,<t>Grog</t> makes you dim when put under pressure
167,pipe,validate,Stupid angler almost hit <t>pipe</t>
168,organs,validate,Blackpool is known for such <t>organs</t>
169,Quickly,train,<t>Quickly</t> take horse from native American
170,Bother,validate,"<t>Bother</t> sandboy, now and then"
184,Barrister,test,<t>Barrister</t> that’s soft and smooth
186,copes,test,Chap gets older but <t>copes</t>
187,Proposer,test,<t>Proposer</t> is Shaker’s companion?
190,Pictures,validate,<t>Pictures</t> came in for restoration
191,Appear,test,"<t>Appear</t>, as moths tend to?"
192,Present,train,<t>Present</t> of francs given to monarch
194,cheese,train,Smear pan to cook <t>cheese</t>
200,Unfavourable,validate,<t>Unfavourable</t> notice on poem
201,food,train,Reasonable-sounding <t>food</t>
202,Police force,train,"<t>Police force</t>, green, admire criminal"
204,Match,validate,<t>Match</t> the Devil
204,the Devil,test,Match <t>the Devil</t>
205,layers,test,A pastry’s built up in <t>layers</t>
207,Deck,test,<t>Deck</t> going up and down
209,a big hand,test,Two boys look embarrassed to get <t>a big hand</t>
211,Dramatist,test,"<t>Dramatist</t>, English writer, penning story"
219,Take away,test,<t>Take away</t> starter of tempura transported back
220,Bird,validate,"<t>Bird</t>'s places for putting some wool, say"
224,character,validate,Round and large <t>character</t>
228,noticed,train,What about two media bigshots gets <t>noticed</t>
231,weapon,test,Beastly male with an aggressor's <t>weapon</t>
232,Agreed,validate,<t>Agreed</t> East End's in need of renovation
233,Jumped,test,<t>Jumped</t> in Sierra before accident
234,Property,test,<t>Property</t> to develop? Not at first
236,Move around,validate,<t>Move around</t> behind large stove
237,Old-fashioned,validate,<t>Old-fashioned</t> fool interrupts gym class
243,Off-the-shoulder,test,<t>Off-the-shoulder</t> end of Teeswater held by wire fastener beside ship
248,Get,test,"<t>Get</t> to mislead, with Republican replacing Democrat"
249,Publicising,test,<t>Publicising</t> longest UK road with circular shape
252,occasionally,test,"European, extremely old, stopping to become less hard <t>occasionally</t>"
255,Name,train,<t>Name</t> I yet find strange
260,rhubarb,test,Batter fish first then start to steam <t>rhubarb</t>
265,Private,train,<t>Private</t> place for film?
268,still,test,"Grannie follows deer — trying, at first, to be <t>still</t>"
270,reading desk,test,A doctor’s old <t>reading desk</t>
272,Flat,test,<t>Flat</t> race is short
275,Remove,train,<t>Remove</t> obstruction in river
281,cake,test,"Around end of dinner, food served includes anunhealthy-looking <t>cake</t>"
283,Rat,train,<t>Rat</t> initially attracted by rubbish put outside
284,Grope for,test,<t>Grope for</t> board game
284,board game,test,Grope for <t>board game</t>
285,palm,train,Sailor climbing brown <t>palm</t>
288,harsh,test,ID card's not in order? That's <t>harsh</t>
289,assumed,validate,"Academic needs east-facing study, it's <t>assumed</t>"
292,died,test,"Fairy, cast off, <t>died</t>"
295,virtue,test,My <t>virtue</t>
296,Beast,test,<t>Beast</t> that is cross — bull initially confined
301,satisfied,test,Prisoner given shelter is <t>satisfied</t>
304,Stipulations,test,<t>Stipulations</t> for academic periods
308,Wine,test,"<t>Wine</t>? Sing, drinking one — then get another one!"
309,Greek,validate,<t>Greek</t> party with wealth not half evident
315,Island,validate,<t>Island</t> for the nobs featured in back issue of periodical
316,Reduce,test,"<t>Reduce</t> something bloody, having got back in time"
317,clubs,test,Endless chatter around a fellow's <t>clubs</t>
320,Poet,test,"<t>Poet</t>’s line, one on compassion"
323,vehicles,test,Melting tarmac starts to restrict some <t>vehicles</t>
325,uplifting,train,Priest and French actor performing? It's <t>uplifting</t>
326,Base,validate,<t>Base</t> established — cycle around it?
327,Perversion,train,<t>Perversion</t> is admitted by unfortunate male
328,Pole,test,<t>Pole</t>’s few lines of poetry
329,conversation,test,Sure to be upset following party <t>conversation</t>
330,Spoke,test,<t>Spoke</t> favouring reform — not Conservative
332,plant,test,"Short chum sits on meadow, squashing one <t>plant</t>"
334,Trader,validate,<t>Trader</t> giving one artist supply
335,completely,test,"With something large in the environment, lose out <t>completely</t>"
339,Traffic,test,<t>Traffic</t> needs to speed up heading for Edinburgh
340,Cheats,validate,<t>Cheats</t> and criminals caught out
343,waste product,test,Not including design leaving a <t>waste product</t>
344,Asian,train,<t>Asian</t> dog covering miles
346,Tag,test,<t>Tag</t> game outside involved tariff
352,a complaint,validate,"Periodically, varsity hymn gets <t>a complaint</t>"
355,brickbat,train,British are out to block harsh <t>brickbat</t>
356,Writer,test,<t>Writer</t> quite slowly knocking out leading article
358,County,validate,Funds in Madison <t>County</t>
360,prune,test,Cold sauce for <t>prune</t>
370,fight,test,Sally hasn’t got over <t>fight</t>
374,Organ stop,test,<t>Organ stop</t> in list
374,list,train,Organ stop in <t>list</t>
375,Appear,validate,<t>Appear</t> in an excited state after parade
377,Watchword,test,<t>Watchword</t> of guy painting in retirement
378,In,train,<t>In</t> goal blocking shot
380,rector,test,Standards concerning <t>rector</t>
381,resign,validate,"Rank reduced, so <t>resign</t>"
385,Stage,test,"<t>Stage</t> right, Oscar to play guitar"
387,Concentrate,train,"<t>Concentrate</t> following commander, American"
389,Plant,train,<t>Plant</t> in bogland across river
395,Picture,test,<t>Picture</t> which involves work
397,Fear,test,<t>Fear</t> of god?
398,Club,validate,<t>Club</t>'s male champion
399,Key,test,"<t>Key</t> area, watering hole"
400,Worn out,test,"<t>Worn out</t>, quiet cat dropping head"
403,Philanderer,validate,<t>Philanderer</t>’s limitless charm embraced by group I love
404,Utopian,train,<t>Utopian</t> novel italicised
405,Nation,validate,<t>Nation</t> marked for deletion?
406,Primate,validate,"<t>Primate</t> mentioned briefly, dressing king"
408,File,test,<t>File</t> in woodland getting lost
409,Leave,test,"<t>Leave</t> on Christmas morning, possibly with papa"
411,dragon,test,Case of Welshman bagging very wild <t>dragon</t>
412,Show,validate,<t>Show</t> on television initially in the money
415,Condemn,train,<t>Condemn</t> explosion
415,explosion,test,Condemn <t>explosion</t>
416,Lock,test,"<t>Lock</t> phone, given licence"
418,Muscles,validate,<t>Muscles</t> stopping system
419,Cuckoo,validate,<t>Cuckoo</t> making beastly noise
420,high,test,Soldier very bitter over identical issue getting <t>high</t>
426,Grain,test,"<t>Grain</t> in granary, evidently!"
427,Tough guys,train,<t>Tough guys</t> breaking ribs? Sure!
429,saint,test,Queen follows favourite <t>saint</t>
430,alleged,test,A word we hear in a German accent? So it's <t>alleged</t>
431,Cooler,train,<t>Cooler</t> that is cold inside
432,Proposed,train,<t>Proposed</t> name I don't change
433,illusion,test,I'm taken aback by anger? That's an <t>illusion</t>
434,disturbance,test,Sibling ignoring the second <t>disturbance</t>
436,Sprite,train,<t>Sprite</t> seen in hotel foyer
437,flower,train,Tie up an awkward <t>flower</t>
438,Confused,test,<t>Confused</t> when sailing?
438,sailing,test,Confused when <t>sailing</t>?
439,lake,validate,Mormon's end beside salt <t>lake</t>
441,Initiation,test,<t>Initiation</t> that's suitable is in British Museum
442,to let loose,test,Family member doesn't start <t>to let loose</t>
444,Province,test,<t>Province</t> in actual centre of Germany
445,Withdraw,test,<t>Withdraw</t> with minor injury
446,Extra,test,<t>Extra</t> snake almost died
448,Cock,test,<t>Cock</t> Robin initially waving to Rose
449,chorus,test,Hold back from the <t>chorus</t>
450,store,validate,Extremely desirable drug <t>store</t>
456,Coffee,test,"<t>Coffee</t>, second of two, unfinished"
460,Wrong,test,A missing Citroen car crashed? <t>Wrong</t>
460,a,validate,<t>A</t> missing Citroen car crashed? Wrong
461,Corporation,validate,Trade Union at first meet <t>Corporation</t>
466,Dish,validate,"<t>Dish</t> — very dry, provided in port"
468,New,test,<t>New</t> farmer oddly quiet
471,Eager,validate,"<t>Eager</t> to be hugged by wizard, enthralling"
472,Serious,train,<t>Serious</t> attention retreat needed
474,store,train,Introduction of competition hurt <t>store</t>
481,Corpse,test,<t>Corpse</t> is gory: look out
484,slog,test,Refuse hard <t>slog</t>
485,store,train,Burned remains after emptying secret <t>store</t>
489,Dish,test,<t>Dish</t> youngster eats sport being over
492,Router,test,<t>Router</t> sends digger round Bath
493,fortune,train,Be getting on motorway over part of England to make <t>fortune</t>
494,tooth,train,"Smile, darling, although missing a <t>tooth</t>"
495,a bloomer,validate,"To take a rich husband, they say, may be <t>a bloomer</t>"
498,Lying,validate,<t>Lying</t> for the country has caught ambassador finally
505,cut back,test,"Palladium, introducing old character, <t>cut back</t>"
506,everywhere,train,A couple of lines crossing <t>everywhere</t>
507,tricks,test,"Beatle's back in USSR, playing <t>tricks</t>"
508,Check,test,<t>Check</t> a Buddhist at regular intervals
514,hammer,validate,Obstinate person endlessly holding a <t>hammer</t>
518,Tool,train,<t>Tool</t> displays more wings for aircrew
519,Treatment,test,<t>Treatment</t> of savant by university
521,Pray,test,"<t>Pray</t> with heart not with head, returning thanks"
523,Christian,train,In airport goddess replaces old <t>Christian</t>
525,Stand for,train,<t>Stand for</t> show again?
526,go,validate,Stop outside or <t>go</t>
529,pepper,train,Aspic possibly combined with <t>pepper</t>
531,approved,train,"Conclusion about county, not quite <t>approved</t>"
533,Introduce,validate,"<t>Introduce</t> American drug, ignoring blood group"
536,Tea,validate,<t>Tea</t> from northbound service area
551,fall,train,Fruit satisfied in <t>fall</t>
554,Letter,validate,<t>Letter</t> recently ignored in stamp collecting
555,bird sanctuary,test,"Mass of eggs, but not the first year in <t>bird sanctuary</t>"
556,Comic,test,<t>Comic</t> show needs help over name
559,fake,test,I’m after gold that’s <t>fake</t>
560,money,test,Only partially sanguine about <t>money</t>
562,resentment,validate,Popular — till people will show <t>resentment</t>
563,Completely,test,<t>Completely</t> or nearly closed account
564,boat,test,Note port light on front of German <t>boat</t>
565,unit,train,Mischievous child cuts leg off its first <t>unit</t>
566,One,train,<t>One</t> sacked after university abandons resistance
568,communist,validate,Pack’s expelled a <t>communist</t>
569,Original,validate,<t>Original</t> clock face has proper gold on it
574,Inject,train,<t>Inject</t> copper into deformed toenail
575,Annoying,train,"<t>Annoying</t> train, it runs irregularly"
576,crew member,test,Company scheme limits one <t>crew member</t>
579,art,test,Small bag for <t>art</t>
580,Old,train,<t>Old</t> were furious when right’s lost
598,fertiliser,train,Increased payment announced for <t>fertiliser</t>
604,Staying power,test,<t>Staying power</t> of English knight Mussolini managed to get imprisoned
610,Aristocracy,train,<t>Aristocracy</t>’s grand record
614,Replacement,train,<t>Replacement</t> of kidney we set up internally
617,Abhorrent,test,<t>Abhorrent</t> former City mob dismissing head of bank
618,Hat,validate,<t>Hat</t> that’s extremely comfortable crossing northern lake
619,Fortification,validate,"<t>Fortification</t> originally recognised in magnum opus, do we hear?"
620,Disturbing,train,"<t>Disturbing</t>, being out of bed doing my job?"
622,Capricious,test,<t>Capricious</t> fellow concealing deserter
623,drink,validate,Hand-out covering upper-class bachelor’s <t>drink</t>
626,Part,test,"<t>Part</t> in this way, missing ex at first"
630,Arab,validate,<t>Arab</t> friend — European gets one for nothing
634,Pull,test,<t>Pull</t> vehicle back in a series of races
638,Back,test,<t>Back</t> an attempt
639,hat,test,"In operetta, what’s put before jury? Not a <t>hat</t>"
640,Terror,test,"<t>Terror</t> as dresser goes tipping over, bits smashing off"
642,Agreeable,test,<t>Agreeable</t> article for men in tribute
646,Done,train,<t>Done</t> with requirement for Poohsticks
648,critical,test,"Female, commonly odious and <t>critical</t>"
649,the country,test,Ridiculous in a suit in <t>the country</t>
652,Trim,test,<t>Trim</t> short leggings
653,Praise,train,"<t>Praise</t> silent type, advancing initially into battle"
654,disgusting,test,Make altogether <t>disgusting</t>
656,Fielder,validate,"<t>Fielder</t>, inadequate, returning trophies"
658,fault,validate,"In getting up fast, I remedy <t>fault</t>"
659,benefit,test,Sort of lamp I plugged in picked up as <t>benefit</t>
663,coat,test,"Before test, drops <t>coat</t>"
664,Construction,validate,<t>Construction</t> of poem featuring in Eliot’s first gamble
672,Boat,test,<t>Boat</t> that leads the way for others?
673,communion,train,Knock over wine for <t>communion</t>
674,The latest,test,<t>The latest</t> worry for museum conservator?
677,Winning,train,"<t>Winning</t> daily is guaranteed, but not car"
683,sweets,train,Hardy tucks into extremely luscious <t>sweets</t>
684,Excluded,test,<t>Excluded</t> workers rising in turn to get drinks
687,Crustacean,validate,<t>Crustacean</t> in pub clean when cooked
688,Reasonable,validate,<t>Reasonable</t> travel cost announced
690,Obsession,test,"<t>Obsession</t>, not initially serious, developed"
692,Hoofed mammal,train,<t>Hoofed mammal</t> in Kansas occasionally
696,toy,train,Instruct class producing <t>toy</t>
698,secures,test,Cash card number son <t>secures</t>
700,Rescue,train,<t>Rescue</t> dog losing tail
705,wreckage,test,Force to slam explosively causing <t>wreckage</t>
707,Will,train,<t>Will</t> roused mates in canvas shelter
710,Mister,test,<t>Mister</t> Solo shot after a little hesitation?
711,Entertainer,train,<t>Entertainer</t> is treat when sozzled
712,Blade,test,<t>Blade</t> beheaded wild pig
715,College,test,<t>College</t> window
715,window,train,College <t>window</t>
717,Threat,test,"<t>Threat</t> from people, one in a suit"
720,Compound,test,<t>Compound</t> kept by some Westerners
721,Marx,test,Instrument played by old <t>Marx</t>
722,Trade,test,<t>Trade</t> vehicles
722,vehicles,test,Trade <t>vehicles</t>
724,European,test,"Desperate man, eastern <t>European</t>"
726,Calm,test,"<t>Calm</t> little place, attended by a group of detectives"
727,European,test,Proverbial drinker outside pub is <t>European</t>
728,alarm,validate,Criticise one Conservative creating <t>alarm</t>
735,Stopping,test,<t>Stopping</t> almost all night after travel
736,Tries,train,<t>Tries</t> to present pieces for university tutor?
737,Candlestick,test,<t>Candlestick</t> boy carried around cold Anglican church
738,City,test,<t>City</t> offering what’s collected in box for down-and-outs
743,Proper,test,<t>Proper</t> journey down mountain maybe without first sign of snow
744,a game,test,Hard work is followed by whisky and <t>a game</t>
746,Grate,train,<t>Grate</t> fragment ending in fire
749,Suggest,test,<t>Suggest</t> work in writing
750,Chop,test,<t>Chop</t> end off dining chair
752,Weapons,validate,<t>Weapons</t> found in farmstead
754,Brave,validate,<t>Brave</t> reorganisation of Hire Co
756,Good-looking,validate,"<t>Good-looking</t> worker, so attached to me"
758,Mild-mannered,test,<t>Mild-mannered</t> in attack
759,stomach,validate,Be left with large and ultimately unlovely <t>stomach</t>
760,Quieter,test,<t>Quieter</t> part of distillery
761,Athlete,test,<t>Athlete</t> runs behind lots of people
764,Severe,train,<t>Severe</t> reduction in A & E
767,carpet,test,Hire purchase no longer available for <t>carpet</t>
768,Test,test,<t>Test</t> area in former excavation site
769,Warlike,test,"<t>Warlike</t> officer, we hear"
770,funny,train,Nobleman upset Liberal? That's <t>funny</t>
772,Fool,test,<t>Fool</t> turned up in tank top
774,mammal,train,Take me abroad to capture river <t>mammal</t>
778,Join,train,<t>Join</t> a Parisian welcoming computers etc.
781,antelope,test,Company is importing meat — <t>antelope</t>
783,still,train,Doctor holding delicate fabric up <t>still</t>
788,Listless,train,"<t>Listless</t>, glad Uni is out"
790,America,train,Having written a will protecting husband and son in <t>America</t>
794,organ,train,Odd pieces removed from very new <t>organ</t>
800,White,test,"<t>White</t> LP, almost complete"
804,to jump,train,Safe place <t>to jump</t>
807,Attendant,validate,<t>Attendant</t> almost to tread on person in care
808,a fault,test,To change sides is <t>a fault</t>
811,Bracketed,test,"<t>Bracketed</t> father, say, with man having time in charge"
814,disease,train,Note aunt’s unfortunate <t>disease</t>
817,dressing,test,"Famous maestro, not English, getting cue wrong after Lohengrin’s wife is <t>dressing</t>"
818,City,train,<t>City</t> with terrible secret about gold
820,Heavy,train,<t>Heavy</t> work I have outside printing house
822,inscription,test,Confused pie chart and <t>inscription</t>
825,the best,validate,Anaesthetic unit is <t>the best</t>
831,language,train,Established working name for <t>language</t>
833,Absolute,test,<t>Absolute</t> commander-in-chief chasing car holding traitor
840,desire,test,Smart suppressing singular <t>desire</t>
841,Failing,train,<t>Failing</t> to cross over desert
841,desert,test,Failing to cross over <t>desert</t>
845,assassin,train,Girl trapping judge’s <t>assassin</t>
850,Jettison,test,<t>Jettison</t> bedcover on top of antique table
851,Sandwich,test,<t>Sandwich</t> spread?
851,spread,train,Sandwich <t>spread</t>?
853,Stratified,test,<t>Stratified</t> lake certainly a warning of something dangerous
858,Moderate,test,<t>Moderate</t> teases toffs endlessly
859,disloyalty,train,No tears about <t>disloyalty</t>
862,bitter,validate,A blush digesting record of debt leaving son to the very end <t>bitter</t>
865,Dogmatic,test,"<t>Dogmatic</t> idea, no point shifting"
866,horse,train,Delay one riding <t>horse</t>
868,Bird,train,"<t>Bird</t>’s to raise hatch, reportedly"
871,split,test,Socialists pursuing Conservative <t>split</t>
873,Stock,test,<t>Stock</t> colours
873,colours,train,Stock <t>colours</t>
875,Evergreen,train,<t>Evergreen</t> power to fascinate
876,pipe,validate,Hydrogen expands in large flexible <t>pipe</t>
877,Thriving,test,<t>Thriving</t> source of water
879,Shrub,validate,"<t>Shrub</t>, one beyond blight — job to contain it?"
880,Peer,validate,"<t>Peer</t> in organ loft, but not very many times"
881,Monkey,train,"<t>Monkey</t> lives around borders of Kenya, to the west"
882,Syrup,test,<t>Syrup</t> — huge number of lemmings initially stuck in it
883,Poet,train,<t>Poet</t> who's evidently been on the rack?
884,engrossed,train,"In conversation, bound to be <t>engrossed</t>"
885,Torch,validate,"<t>Torch</t>, a virtually full beam lit up"
887,Passage,test,"<t>Passage</t> which crosses river, ending in Idaho"
888,Sweet,test,<t>Sweet</t> tune recalled by one in French
889,Trinity,test,<t>Trinity</t> right within you
893,crown,test,Cap of cerulean and gold on a <t>crown</t>
894,remains,validate,A silencing word <t>remains</t>
895,PM,train,People ecstatic at first about party removing a <t>PM</t>
899,Failing,train,<t>Failing</t> to change sides
901,Chairman,test,"<t>Chairman</t>, on agonising march, heads northward"
903,Parrot,test,<t>Parrot</t> of old lady put with cashew when she is absent
905,particle,test,Rupture regularly found in noble gas <t>particle</t>
906,Delete,train,<t>Delete</t> Times puzzle at the end
909,State,test,"<t>State</t> “I do”, securing a husband"
912,Suffer,train,<t>Suffer</t> at home with vicious mutt
914,Tell,validate,<t>Tell</t> on Dracula?
916,Modern,validate,<t>Modern</t> recycling centre
920,Sign,test,<t>Sign</t> depicting old fellows
921,party,train,Part of leg found by excavation <t>party</t>
923,Tangle with,train,<t>Tangle with</t> men he’s upset
925,Crooked,test,<t>Crooked</t>? Sounds like a grass
926,junk,test,Very easy task collecting river <t>junk</t>
927,place of worship,test,Cartel had demolished <t>place of worship</t>
930,Noblewoman,validate,<t>Noblewoman</t> starts to develop unusual board game
932,aerial,test,Worker returning woman's <t>aerial</t>
935,relations,test,Tuna swimming with small <t>relations</t>
936,bottle opener,test,Irish city's sailors producing <t>bottle opener</t>
939,Gloomy,test,<t>Gloomy</t> about group of actors
940,Climbed,test,"<t>Climbed</t> like an armadillo, perhaps?"
946,Fancy,validate,<t>Fancy</t> putting limit on staple food
951,Plants,train,<t>Plants</t> in island thus smuggled from the east
955,protein,train,"Briefly poke around leg, to find <t>protein</t>"
956,Share,test,"<t>Share</t> the Sunday joint, do we hear?"
961,river,test,Retired priest following northern <t>river</t>
964,Anger,validate,<t>Anger</t> shown when state's leader is deposed
966,Lower,train,<t>Lower</t> rent Ray's splashed out up front?
967,Sea nymph,test,<t>Sea nymph</t> entangled in reed
968,Dairy product,train,<t>Dairy product</t> a girl takes in bed
973,Scorn,test,<t>Scorn</t> fiddle casual worker finally bought
974,Insensitively,test,<t>Insensitively</t> considered the French devious
976,Insect,train,<t>Insect</t> — one flapping lamely at first in farm pen
978,Language,train,<t>Language</t> provoked by a limited rise in Westminster?
979,Stick,test,"<t>Stick</t> a poster, possibly, in this place"
980,Long,test,<t>Long</t> evergreen tree
982,Produced,validate,"<t>Produced</t> money, we hear"
983,Custom,test,<t>Custom</t> from American era
985,amusing,train,Coming in holding that isn’t regularly <t>amusing</t>
992,favour,train,Find beer possibly as <t>favour</t>
994,Shellfish,test,<t>Shellfish</t> that’s uncooked put into empty pan
995,Sweet,test,"<t>Sweet</t> having me in calmer race, somehow"
996,Unruffled,validate,<t>Unruffled</t> sound from cow in south
1002,Disconcert,validate,"<t>Disconcert</t> painter, non-drinker, extremely likable"
1004,Care for,validate,<t>Care for</t> those experiencing niggling delays at first
1006,Deduce,train,<t>Deduce</t> number will have escaped fire
1007,Just,test,"<t>Just</t> this for Latin scholar, with others hanging around"
1012,Previous,test,<t>Previous</t> beliefs
1012,beliefs,test,Previous <t>beliefs</t>
1013,Geographical area,test,<t>Geographical area</t> in study with infestation by insect
1014,Assails,train,<t>Assails</t> farm animals seen around middle of pasture
1018,people,validate,Arrange to bring in computers for <t>people</t>
1020,Judge,train,<t>Judge</t> savaged scoundrel after artillery backed ordinary soldiers
1022,charm,train,Duke is taken by a soldier displaying <t>charm</t>
1023,Suspends,test,<t>Suspends</t> comments about post finally
1026,space program,test,Permit briefly restricting work held back <t>space program</t>
1027,Discovers,test,<t>Discovers</t> American receiving close to half of this
1029,Necessary,test,<t>Necessary</t> ordnance not initially functioning
1030,Impromptu,train,<t>Impromptu</t> nude dancing — tries again to interrupt
1034,Inactive,test,"<t>Inactive</t> case's ending, Times having time in court"
1040,Relaxation,test,<t>Relaxation</t> involves identification of alternative holiday venue
1044,Type,validate,<t>Type</t> of city where one does as the locals?
1047,Material,test,<t>Material</t> in patch in overalls
1048,the news,test,Trial in US city making <t>the news</t>
1055,Wall in,train,<t>Wall in</t> middle of commune? Anger about that
1057,Neglect,test,<t>Neglect</t> before Liberal engaged in speech
1061,Sweet,validate,"<t>Sweet</t>, like lots of sugar that woman is tucking into"
1062,Spot,test,<t>Spot</t> that's fairly quiet in big building
1063,Calm,validate,<t>Calm</t> senior politician enlisting hard supporter
1065,Despairing,train,<t>Despairing</t> poet moving end of verse to earlier position
1068,complacent,test,Reminder about university being <t>complacent</t>
1069,wrong,train,Sick bird sounded <t>wrong</t>
1076,Bones,test,<t>Bones</t> in bag next to top drawer?
1077,game,train,Server misses one playing pool <t>game</t>
1083,Grim,test,<t>Grim</t> at all times in southeast
1084,Fur,test,"<t>Fur</t> belonging to myself after earl, oddly"
1087,to recover,test,Brief respite with time for papa <t>to recover</t>
1088,Indifferent,validate,<t>Indifferent</t> emergency appeal gains nought
1091,Paraffin oil,test,<t>Paraffin oil</t>’s odd treatment for sore knee
1092,neighbourhood,train,A mostly concrete <t>neighbourhood</t>
1093,bother,test,Fool in hospital left ecstasy — <t>bother</t>
1094,Coarse,validate,<t>Coarse</t> east European taking Victor for British
1097,Unscramble,validate,<t>Unscramble</t> lyric after a month
1098,respect,test,The Queen always up for <t>respect</t>
1099,Formerly,test,<t>Formerly</t> working with civil engineer
1102,Bony,test,<t>Bony</t> eel takes cooking
1104,split,test,Quit after Conservative <t>split</t>
1105,paper,test,Former partner with morning <t>paper</t>
1106,Poet,test,<t>Poet</t>’s residence by river
1108,place of worship,test,Cleric leaving one <t>place of worship</t>
1109,Ate,test,<t>Ate</t> some shortbread in Edinburgh
1111,country,test,Definitely not embracing king and <t>country</t>
1115,epic poem,test,Bard’s beginning revision of woeful <t>epic poem</t>
1117,The same,test,<t>The same</t> detective returned over the top
1118,hunch,test,Bad smell linked to papa? It’s a <t>hunch</t>
1119,Fix,test,<t>Fix</t> blokes drinks at the outset…
1122,Former,test,<t>Former</t> heads of our legal department
1124,Contemplate,test,<t>Contemplate</t> friend consuming awful diet
1126,bare,train,"Wear thin, possibly becoming <t>bare</t>"
1127,Game,test,<t>Game</t> in which St Helens initially defend after turnover
1128,Fight,test,<t>Fight</t> Club follows The Big Sleep (final cut)
1129,gamble,test,Cambridge boat’s <t>gamble</t>
1132,contract,test,"After silence, hands round the writer's <t>contract</t>"
1133,Many,validate,<t>Many</t> dogs taking the lead off
1134,approved,train,"Twirling, maybe the ladies one saw <t>approved</t>"
1135,harsh,test,Great Britain's flipping <t>harsh</t>
1138,Particular,test,"<t>Particular</t> sin, snatching diamonds from the east"
